Department Family,Entity,Date,Expense Type,Expense Area Rev,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,Department for Transport,06/10/2014,Cap Grt Pri Sec-Cos.,Major Projects & Growth,FIRST CAPITAL CONNECT,2000013818,291840.99,FCC SSF 14/15,EC1V 9QS
Department for Transport,Department for Transport,06/10/2014,CurrGrt Las in AEF/A,Local,COMMUNITY TRANSPORT ASSOCIATION,2000013814,200000,4008450 COMMUNITY TRANSPORT ASSOCIATION,SK14 2NY
Department for Transport,Department for Transport,06/10/2014,Financial Consultanc,Major Projects & Growth,Pricewaterhouse Coopers LLP,2000013809,48787.66,#,SE1 2RD
Department for Transport,Department for Transport,06/10/2014,Financial Consultanc,Rail Franchising,ERNST & YOUNG LLP,2000013801,70706.4,#,SE1 2AF
Department for Transport,Department for Transport,06/10/2014,Financial Consultanc,Rail Franchising,Pricewaterhouse Coopers LLP,2000013809,17076,#,SE1 2RD
Department for Transport,Department for Transport,06/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013817,3,Legal services 30/4/14,EC4R 3TT
Department for Transport,Department for Transport,06/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013817,18198.54,#,EC4R 3TT
Department for Transport,Department for Transport,06/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013817,-3,Credit for Invoice 630877 (5105991039),EC4R 3TT
Department for Transport,Department for Transport,06/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013817,-18198.54,#,EC4R 3TT
Department for Transport,Department for Transport,06/10/2014,Legal Consultancy,Motoring Services,Field Fisher Waterhouse LLP,2000013817,18986.16,#,EC4R 3TT
Department for Transport,Department for Transport,06/10/2014,Non Stock Machine Co,Motoring Services,XMA LIMITED GOSC,2000013822,1236.1,#,NG11 7EP
Department for Transport,Department for Transport,06/10/2014,Other Advertising,Local,PENNA COMMUNICATIONS,2000013820,1761.56,#,EC4M 7RD
Department for Transport,Department for Transport,06/10/2014,Other Advertising,"Policy, Legislation and Funding",PENNA COMMUNICATIONS,2000013820,260312.26,#,EC4M 7RD
Department for Transport,Department for Transport,06/10/2014,Other Professional F,Group Finance,Arvato Ltd,2000013823,224955,#,HU10 6FE
Department for Transport,Department for Transport,06/10/2014,Publicity,"Motoring, Freight & London",Munro Market Research Limited,2000013824,16202.4,#,HP13 6AE
Department for Transport,Department for Transport,06/10/2014,Recruitment,Portfolio Office,PENNA PLC,2000013808,14137.5,#,EC4M 7RD
Department for Transport,Department for Transport,06/10/2014,Recruitment Fees,Portfolio Office,Talent Q Ltd,2000013825,4855.44,#,OX9 3AJ
Department for Transport,Department for Transport,06/10/2014,Recruitment Fees,Portfolio Office,Talent Q Ltd,2000013825,18408.84,#,OX9 3AJ
Department for Transport,Department for Transport,06/10/2014,Rent - L&B (non-PFI),Group Procurement & Estate,EUROSTAR (UK) LTD,2000013816,405000,Q1 TO Q3 RENT AT ORIENT,SE1 8SE
Department for Transport,Department for Transport,06/10/2014,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000013806,135271.6,#,EC1V 0AX
Department for Transport,Department for Transport,06/10/2014,Research,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000013806,20071,#,EC1V 0AX
Department for Transport,Department for Transport,06/10/2014,Research,Transport Security Strategy,Bundes Polizei Prasidium,2000013793,21812.7,#,#
Department for Transport,Department for Transport,06/10/2014,Research,Transport Security Strategy,HEALTH & SAFETY LABORATORIES,2000013802,8916,#,SK17 9JN
Department for Transport,Department for Transport,06/10/2014,Research,Rail Strategy & Funding,TRANSPORT RESEARCH LABORATORY,100017900,28451.75,#,RG40 3GA
Department for Transport,Department for Transport,06/10/2014,Research,Rail Strategy & Funding,TRANSPORT RESEARCH LABORATORY,100017900,-28451.75,#,RG40 3GA
Department for Transport,Department for Transport,06/10/2014,Services prov by OGD,Resource & Strategy Directorate Office,COMMUNITIES AND LOCAL GOVERNMENT,2000013791,26360.12,#,HP2 4XN
Department for Transport,Department for Transport,06/10/2014,Support Services,"Motoring, Freight & London",Environmental Scientifics Group,2000013797,3571.2,#,OX9 3SZ
Department for Transport,Department for Transport,06/10/2014,Support Services,Aviation,CORNWALL AIRPORT LTD,2000013819,30378,#,TR8 4RQ
Department for Transport,Department for Transport,06/10/2014,Support Services,Aviation,MET OFFICE,2000013804,116576.1,#,EX1 3PB
Department for Transport,Department for Transport,06/10/2014,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000013815,142030.25,#,EH4 1PU
Department for Transport,Department for Transport,06/10/2014,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000013815,142030.25,#,EH4 1PU
Department for Transport,Department for Transport,06/10/2014,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000013815,142030.25,#,EH4 1PU
Department for Transport,Department for Transport,06/10/2014,Support Services,Aviation,OECD,2000013807,25000,#,SG6 1HN
Department for Transport,Department for Transport,06/10/2014,Support Services,"Energy, Technology and International",VEHICLE CERTIFICATION AGENCY,2000013812,124696.93,#,BS5 6XX
Department for Transport,Department for Transport,06/10/2014,Training,Group Human Resource,SCT CONSULTANTS LTD,2000013821,4000,#,W8 5RL
Department for Transport,Department for Transport,06/10/2014,Transport  Consult,Strategic Roads & Smart Ticketing,WSP UK Limited T/A WSP Civils,2000013813,6883.07,#,GL20 8SJ
Department for Transport,Department for Transport,07/10/2014,Agency Staff Costs,Local,CAPITA BUSINESS SERVICES LTD,2000013874,905.29,#,DL1 9HN
Department for Transport,Department for Transport,07/10/2014,Agency Staff Costs,Motoring Services,SPRING TECHNOLOGY LTD  ALSO T/A,2000013900,1272.96,#,B37 7YE
Department for Transport,Department for Transport,07/10/2014,Agency Staff Costs,Motoring Services,SPRING TECHNOLOGY LTD  ALSO T/A,2000013900,3182.4,#,B37 7YE
Department for Transport,Department for Transport,07/10/2014,Agency Staff Costs,Rail Franchising,CAPITA BUSINESS SERVICES LTD,2000013874,8900.28,#,DL1 9HN
Department for Transport,Department for Transport,07/10/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000013895,4740,#,DL1 9HN
Department for Transport,Department for Transport,07/10/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000013895,6457.54,#,DL1 9HN
Department for Transport,Department for Transport,07/10/2014,Agents Fees,Strategic Roads & Smart Ticketing,NORTHGATE INFORMATION SOLUTIONS,2000013907,179100,#,HP2 4NW
Department for Transport,Department for Transport,07/10/2014,Agents Fees,Strategic Roads & Smart Ticketing,NORTHGATE INFORMATION SOLUTIONS,2000013907,129600.13,#,HP2 4NW
Department for Transport,Department for Transport,07/10/2014,Agents Fees,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000013897,662068.48,#,DL3 6EH
Department for Transport,Department for Transport,07/10/2014,Computer equipment,Air Accident Investigation Branch,Novatech Ltd,2000013906,23589.6,#,PO6 4PU
Department for Transport,Department for Transport,07/10/2014,Computer equipment,Air Accident Investigation Branch,Novatech Ltd,2000013906,770.94,NOVATECH NON ETHOS DELL MONITOR 29/08/14,PO6 4PU
Department for Transport,Department for Transport,07/10/2014,CurrGrt Las in AEF/A,Rail Strategy & Funding,MERSEY TRAVEL,2000013896,6616146.02,Marsey Travel grant P7 payment,L3   2AN
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,CORNWALL MOBILITY CENTRE LTD,2000013886,70685,Mobility Centres Payments Q3 2014-15,TR1 3LJ
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,DERBY HOSPITALS,2000013887,57775,Mobility Centres Payments Q3 2014-15,DE1 2QY
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,DISABLED LIVING CENTRE,2000013888,30730,Mobility Centres Payments Q3 2014-15,BS16 2QQ
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,EAST ANGLIAN DRIVEABILITY,2000013889,87483,Mobility Centres Payments Q3 2014-15,IP24 3RL
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,FORUM OF MOBILITY CENTRES,2000013902,25373,Mobility Centres Payments Q3 2014-15,IP24 3RL
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,HERTFORDSHIRE ACTION ON DISABILITY,2000013901,42029,Mobility Centres Payments Q3 2014-15,AL7 4DD
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,KENT COMMUNITY HEALTH NHS TRUST,2000013909,71774,Mobility Centres Payments Q3 2014-15,CT1 3NG
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,N. West Driving Assessment Service,2000013908,63239,Mobility Centres Payments Q3 2014-15,WA11 9SJ
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,NORTHUMBERLAND TYNE & WEAR NHS TRUS,2000013890,50304,Mobility Centres Payments Q3 2014-15,NE3 3XT
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,QUEEN ELIZABETHS FOUNDATION,2000013891,104355,Mobility Centres Payments Q3 2014-15,SM5 4NR
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,REGIONAL DRIVING ASSESSMENT CENTRE,2000013892,151373,Mobility Centres Payments Q3 2014-15,B8 1AU
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,WESSEX DRIVEABILITY,2000013893,56489,Mobility Centres Payments Q3 2014-15,SO17 2LJ
Department for Transport,Department for Transport,07/10/2014,CurrGrtPriSec-P&NPIS,Local,WILLIAM MERRITT DISABLED LIVING,2000013894,38989,Mobility Centres Payments Q3 2014-15,LS12 3QE
Department for Transport,Department for Transport,07/10/2014,Data Supply - TD,Transport Direct&Travel,LANDMARK INFORMATION GROUP LTD,2000013882,8629.5,#,EX2 7HY
Department for Transport,Department for Transport,07/10/2014,Financial Consultanc,Group Finance,RPMI,2000013904,618,#,DL3 6EH
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-3152.17,Corona - 55 Victoria St Sep 10 to Jan 2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-922.32,Corona - 55 Victoria St Feb-Apr 2012,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-1668.9,Corona - 55 Victoria St June-Sept 2010,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-2447.33,Corona - 55 Victoria St Jan-Apr 2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-24020.69,Corona - 55 Victoria St Sep-Feb 2012,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-6489.37,Corona - 55 Victoria St April-June 2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,-1445.4,Corona - 55 Victoria St Apr-MAy 2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,3537.72,Corona - 55 Victoria St June-July 2010,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,3449.87,Corona - 01.03.2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,47768.34,Corona - 01.01.2012,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,33029.93,Corona - 01.06.2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,3421.17,Corona - 01.01.2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,3492.52,Corona - 55 Victoria St Nov-Dec 2010,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,3299.53,Corona 01.02.2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,5580.98,Corona - 55 Victoria St Jan-Feb 2012,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,5266.97,Corona - 55 Victoria St Dec-Jan 2012,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,4415.45,Corona - 55 Victoria St Oct - Nov 2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,2000013878,3779.9,Corona - 55 Victoria St Sep-Oct 2011,WD17 1JW
Department for Transport,Department for Transport,07/10/2014,Home Phone Charges,Rail Accident Investigation Branch,MAIN-TEL,2000013883,681.38,#,TS17 0AQ
Department for Transport,Department for Transport,07/10/2014,IT Ser Running Costs,Group Procurement & Estate,DUN & BRADSTREET LTD,2000013873,8514,#,SL7 1AJ
Department for Transport,Department for Transport,07/10/2014,Legal Consultancy,Group Procurement & Estate,Field Fisher Waterhouse LLP,2000013898,18198.54,#,EC4R 3TT
Department for Transport,Department for Transport,07/10/2014,Legal Consultancy,Major Projects & Growth,DLA PIPER UK LLP,2000013879,13329.08,#,M2 3DL
Department for Transport,Department for Transport,07/10/2014,Legal Consultancy,Rail Franchising,NORTON ROSE LLP,2000013899,68720.14,#,SE1 2AQ
Department for Transport,Department for Transport,07/10/2014,Live Running Non IBM,Motoring Services,Vodafone Ltd (ex C&W W'wide Div.),2000013872,2310.36,Vodafone Rental charges 01.09.14-30.09.2014,MK3 5JP
Department for Transport,Department for Transport,07/10/2014,Publicity,Group Communication,ABBOTT MEAD VICKERS BBDO LTD,2000013875,962,#,NW1 5QE
Department for Transport,Department for Transport,07/10/2014,Publicity,Group Communication,CARAT LTD,2000013877,10500.05,#,WC2B 5PS
Department for Transport,Department for Transport,07/10/2014,Publicity,"Energy, Technology and International",TNS UK LTD,2000013885,10095.6,#,W5 1UA
Department for Transport,Department for Transport,07/10/2014,Purchasing Card Char,Pre Re-Organisation,BARCLAYS BANK PLC,2000013876,1426.62,Barclays - DfT / HS2 - Oct 14,NN4 7SG
Department for Transport,Department for Transport,07/10/2014,Support Services,Aviation,NEWCASTLE INTERNATIONAL AIRPORT LTD,2000013884,30378,#,NE13 8BZ
Department for Transport,Department for Transport,07/10/2014,Support Services,"Motoring, Freight & London",HM COURTS & TRIBUNALS SERVICE,2000013910,42541,#,NP20 9FN
Department for Transport,Department for Transport,07/10/2014,Support Services,General Counsel's Office,Irwin Mitchell,2000013829,55271.7,#,S3 8DT
Department for Transport,Department for Transport,07/10/2014,Telecom Equipment,Motoring Services,Azzuri Communications Ltd,2000013903,2820,Azzurri - Software asssurances 19.06.14 - 18.06.14,BB11 5FH
Department for Transport,Department for Transport,07/10/2014,Telecom Equipment,Motoring Services,Azzuri Communications Ltd,2000013903,1260,Azzurri - Proteus training - 27.06.2014,BB11 5FH
Department for Transport,Department for Transport,07/10/2014,Transport  Consult,Major Projects & Growth,JACOBS UK LTD,2000013881,178298.32,#,G2 7HX
Department for Transport,Department for Transport,07/10/2014,Transport  Consult,Rail Commercial & Programme Office,E C Harris LLP,2000013880,22046.3,#,N1 9AB
Department for Transport,Department for Transport,08/10/2014,Agency Staff Costs,Group Human Resource,NETWORKERS INTERNATIONAL (UK) PLC,2000013987,810.82,#,BR1 1HP
Department for Transport,Department for Transport,08/10/2014,Agency Staff Costs,Group Finance,Badenoch & Clark c/o Lauren Rogers,2000013960,4032,#,B37 7YE
Department for Transport,Department for Transport,08/10/2014,Agency Staff Costs,Group Finance,Badenoch & Clark c/o Lauren Rogers,2000013960,2622,#,B37 7YE
