Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,
Department for Transport,Department for Transport,02/12/2014,Travel Exp Overseas,"Motoring, Freight & London",Environmental Scientifics Group,2000018171,728.3,#,OX9 3SZ,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Group Human Resource,NETWORKERS INTERNATIONAL (UK) PLC,2000018308,1013.52,#,BR1 1HP,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000018303,2880,#,SL1 3SA,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000018308,3391.26,#,BR1 1HP,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,642.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,609.12,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,604.88,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,541.44,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,647.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,647.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,638.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,647.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,638.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,647.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,592.2,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,668.34,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,689.48,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,701.4,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,596.42,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,"Energy, Technology and International",BROOK STREET (UK) LIMITED,2000018291,613.34,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Major Projects & Growth,Badenoch & Clark c/o Lauren Rogers,2000018283,2978.16,#,B37 7YE,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,NETWORKERS INTERNATIONAL (UK) PLC,2000018308,4126.26,#,BR1 1HP,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018279,2615.16,#,DL1 9HN,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018279,-2615.16,Credit for 5106000998,DL1 9HN,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018279,9414.58,#,DL1 9HN,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018279,2615.16,Credit for 5106000998,DL1 9HN,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018279,-2615.16,#,DL1 9HN,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Strategy & Funding,Experis Ltd,2000018285,8999.1,#,EC2M 2RB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Group Finance,Allen Lane,2000018281,2719.38,#,SW1Y 6RJ,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Group Finance,Allen Lane,2000018281,2719.38,#,SW1Y 6RJ,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Group Finance,Allen Lane,2000018281,2175.5,#,SW1Y 6RJ,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,880.12,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,663.88,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,520.63,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,694.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,570.22,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,892.51,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,694.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,694.18,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Strategy and Engagement,BROOK STREET (UK) LIMITED,2000018291,867.72,#,AL1 4JB,
Department for Transport,Department for Transport,03/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018279,18496.9,#,DL1 9HN,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,LONDON MIDLAND RAILWAY,2000018306,4252856,1509 Wk3 Basic Franchise Payment - LONDON MIDLAND,B2 4JB,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,LONDON MIDLAND RAILWAY,2000018306,465857.11,1509 Wk3 CP5 Rev. Inputs to FM letter dt. 18-09-20,B2 4JB,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,LONDON MIDLAND RAILWAY,2000018306,74027.4,1509 Wk3 Fares Flex + RPI Interim Adjustment 14/15,B2 4JB,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,NORTHERN RAIL LTD,2000018305,126700,1509 Wk3 SQMS_2013-14 - NORTHERN RAIL LIMITED,YO1 6HT,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,FIRST KEOLIS TRANSPENNINE,2000018304,3965327,1509 Wk3 Basic Franchise Payment - TRANSPENNINE EX,M1 6LT,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,FIRST KEOLIS TRANSPENNINE,2000018304,-1770105.46,1509 Wk3 CP5 Interim Determination - DfT email dat,M1 6LT,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,FIRST KEOLIS TRANSPENNINE,2000018304,-470808.22,1509 Wk3 Fares Flex washup recovery_P1411 - P1508,M1 6LT,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,FIRST KEOLIS TRANSPENNINE,2000018304,12543.81,1509 Wk3 RPI+0 letter dt. 09-Sept.-2014_P1509 - TR,M1 6LT,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,NORTHERN RAIL LTD,2000018305,12583118.32,1509 Wk3 IFA - Franchise Payment - NORTHERN RAIL L,YO1 6HT,
Department for Transport,Department for Transport,03/12/2014,Basic Franchise Pay,Rail Commercial & Programme Office,NORTHERN RAIL LTD,2000018305,-3879915.9,1509 Wk3 IFA - Franchise Payment CP5 Interim Deter,YO1 6HT,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,BIRMINGHAM CITY COUNCIL,2000018292,303442.73,Q2 LA Major Transport Grant Payment 14/15,B1 1BB,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,BLACKBURN WITH DARWEN BC,2000018328,3752718,Q2 LA Major Transport Grant Payment 14/15,BB1 7DY,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,BRISTOL CITY COUNCIL,2000018318,7484014,Q2 LA Major Transport Grant Payment 14/15,BS99 7BL,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,CAMBRIDGESHIRE COUNTY COUNCIL,2000018319,524155.04,Q2 LA Major Transport Grant Payment 14/15,CB3 0AP,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,CHESHIRE EAST BOROUGH COUNCIL,2000018309,4799987,Q2 LA Major Transport Grant Payment 14/15,CW11 1HZ,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,Cornwall Council,2000018310,1763579.32,Q2 LA Major Transport Grant Payment 14/15,TR1 3AY,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,COVENTRY CITY COUNCIL,2000018293,387412.92,Q2 LA Major Transport Grant Payment 14/15,CV1 2QL,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,DEVON COUNTY COUNCIL,2000018320,8496353,Q2 LA Major Transport Grant Payment 14/15,EX2 4QJ,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,DONCASTER MBC,2000018294,4717,Q2 LA Major Transport Grant Payment 14/15,DN1 1ER,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,DUDLEY MBC,2000018295,46751,Q2 LA Major Transport Grant Payment 14/15,DY1 1HF,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,EAST RIDING OF YORKSHIRE COUNCIL,2000018296,3090320,Q2 LA Major Transport Grant Payment 14/15,HU17 9BA,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,HALTON BC,2000018321,3471518.32,Q2 LA Major Transport Grant Payment 14/15,WA8 6NB,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,LANCASHIRE COUNTY COUNCIL,2000018322,13386967,Q2 LA Major Transport Grant Payment 14/15,PR1 0LD,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,LEEDS CITY COUNCIL,2000018297,5088478,Q2 LA Major Transport Grant Payment 14/15,LS2 8JR,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,LEICESTERSHIRE COUNTY COUNCIL,2000018329,1330014.17,Q2 LA Major Transport Grant Payment 14/15,LE3 8RB,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,NORFOLK COUNTY COUNCIL,2000018324,4830100,Q2 LA Major Transport Grant Payment 14/15,NR1 2UG,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,NORTH YORKSHIRE CC,2000018298,4711236,Q2 LA Major Transport Grant Payment 14/15,DL7 8AL,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,NOTTINGHAM CITY COUNCIL,2000018307,1514699.5,Q2 LA Major Transport Grant Payment 14/15,NG1 5NT,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,OXFORDSHIRE CC,2000018323,6688214,Q2 LA Major Transport Grant Payment 14/15,OX1 1TH,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,SANDWELL MBC,2000018299,141135.96,Q2 LA Major Transport Grant Payment 14/15,B69 3BS,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,SEFTON MBC,2000018325,2601734,Q2 LA Major Transport Grant Payment 14/15,PR8 1DA,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,SOLIHULL MBC,2000018300,168507,Q2 LA Major Transport Grant Payment 14/15,B91 9EG,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,SOMERSET COUNTY COUNCIL,2000018326,596492.86,Q2 LA Major Transport Grant Payment 14/15,TA1 4DY,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,SOUTH YORKS PTE,2000018301,3380851.76,Q2 LA Major Transport Grant Payment 14/15,S2 5YT,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,SUFFOLK COUNTY COUNCIL (GRANTS),2000018331,576902,Q2 LA Major Transport Grant Payment 14/15,IP1 2DH,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,WALSALL MBC,2000018327,5874149,Q2 LA Major Transport Grant Payment 14/15,WS1 1TW,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,West Yorkshire Combined Authority,2000018314,2562739,Q2 LA Major Transport Grant Payment 14/15,LS1 2DE,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,WOLVERHAMPTON CITY COUNCIL,2000018302,745669.28,Q2 LA Major Transport Grant Payment 14/15,WRV 1RL,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Loc Auth,Local,WORCESTERSHIRE COUNTY COUNCIL,2000018330,1782108,Q2 LA Major Transport Grant Payment 14/15,WR5 2NP,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Pri Sec-Cos.,"Policy, Legislation and Funding",Eversheds LLP,2000018315,511096,Wedgew/PEARCEN,CF10 5BT,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Pri Sec-Cos.,Network Rail Sponsorship,Network Rail Infstrcture (Treasury),2000018278,150000000,#,N1 9AG,
Department for Transport,Department for Transport,03/12/2014,Cap Grt Pri Sec-Cos.,Network Rail Sponsorship,Network Rail Infstrcture (Treasury),2000018278,180000000,#,N1 9AG,
Department for Transport,Department for Transport,03/12/2014,CurrGrt Las in AEF/A,Local,HALTON BC,2000018321,511306,LA Majors Revenue Grant - Mersey Gateway,WA8 6NB,
Department for Transport,Department for Transport,03/12/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,Eurotunnel,2000018248,4168810.73,November 14,CT18 8XX,
Department for Transport,Department for Transport,03/12/2014,Eurotunnel Admin Pay,Rail Commercial & Programme Office,EUROTUNNEL,2000018247,4504804.41,Novermber 2014 OPEX and Usage,CT18 8XY,
Department for Transport,Department for Transport,03/12/2014,Furniture & Fittings,Air Accident Investigation Branch,SENATOR INTERNATIONAL LTD,2000018288,1139.81,"EDES - DO NOT SEND ORDER, ALREADY REC'D",BB5 5YE,
Department for Transport,Department for Transport,03/12/2014,Legal Consultancy,Major Projects & Growth,DLA PIPER UK LLP,2000018284,11450.21,#,M2 3DL,
Department for Transport,Department for Transport,03/12/2014,Legal Consultancy,Rail Franchising,Field Fisher Waterhouse LLP,2000018313,74920.56,#,EC3N 2AA,
Department for Transport,Department for Transport,03/12/2014,Legal Consultancy,Rail Franchising,Field Fisher Waterhouse LLP,2000018313,97200,#,EC3N 2AA,
Department for Transport,Department for Transport,03/12/2014,Legal Consultancy,Rail Franchising,Field Fisher Waterhouse LLP,2000018313,15389.28,#,EC3N 2AA,
